,Category,Rank,Time,Box Office
0,2,6.9,1.7,0.6355928339117598
1,2,8.6,2.183333333333333,1.0301838784304047
2,6,9.2,2.933333333333333,1.1694513059075733
3,24,7.3,2.4,0.7284377855632056
4,4,9.2,2.283333333333333,1.1694513059075733
5,25,8.6,2.2666666666666666,1.0301838784304047
6,28,7.8,2.6,0.8444939751275129
7,19,9.3,2.05,1.1926625438204352
8,2,9.5,2.6333333333333333,1.2390850196461578
9,0,8.6,2.7333333333333334,1.0301838784304047
10,21,4.2,1.35,-0.9659825820756814
11,12,9.0,1.6666666666666667,1.1230288300818505
12,20,4.2,1.75,-0.9659825820756814
13,23,4.2,2.05,-0.9659825820756814
14,9,5.8,2.033333333333333,0.3802692168702836
15,7,9.4,1.85,1.2158737817332965
16,1,4.2,2.1333333333333333,-0.9659825820756814
17,8,9.4,1.9,1.2158737817332965
18,15,8.9,1.7833333333333334,1.0998175921689892
19,2,7.5,2.1166666666666667,0.7748602613889286
20,27,4.2,1.6833333333333333,-0.9659825820756814
21,10,4.2,1.4333333333333333,-0.9659825820756814
22,18,9.2,1.5666666666666667,1.1694513059075733
23,11,4.2,1.6,-0.9659825820756814
24,14,9.0,1.4,1.1230288300818505
25,3,4.2,1.9833333333333334,-0.9659825820756814
26,2,4.2,1.5833333333333333,-0.9659825820756814
27,26,4.2,1.6,-0.9659825820756814
28,2,4.2,1.5,-0.9659825820756814
29,29,9.6,1.6333333333333333,1.2622962575590193
30,29,9.0,1.55,1.1230288300818505
31,16,4.2,1.9,-0.9659825820756814
32,22,4.2,1.5,-0.9659825820756814
33,2,4.2,1.9166666666666667,-0.9659825820756814
34,2,4.2,1.4833333333333334,-0.9659825820756814
35,30,4.2,1.4166666666666667,-0.9659825820756814
36,2,4.2,1.6833333333333333,-0.9659825820756814
37,17,4.2,1.3833333333333333,-0.9659825820756814
38,13,4.2,1.4333333333333333,-0.9659825820756814
39,5,8.7,1.4833333333333334,1.053395116343266
40,2,6.7,1.9,0.5891703580860369
41,29,4.2,1.4166666666666667,-0.9659825820756814
42,2,8.4,1.8333333333333333,0.9837614026046818
43,31,4.2,1.5,-0.9659825820756814
44,29,4.2,1.5666666666666667,-0.9659825820756814
45,31,4.2,1.5666666666666667,-0.9659825820756814
46,31,4.2,1.4333333333333333,-0.9659825820756814
